,GroundWaste,OverflowingBins,AvgBinFill,WasteDisposed,WasteCleaned,WasteIntoBins
0,0,0,0.0,0,0,0
1,0,0,0.0,0,0,0
2,1,0,0.0125,0,0,2
3,3,0,0.025,0,0,4
4,4,0,0.03125,0,0,5
5,5,0,0.03875,0,0,7
6,5,0,0.04,0,0,8
7,7,0,0.04,0,0,8
8,7,0,0.04625,0,0,9
9,9,0,0.04625,0,0,9
10,11,0,0.04625,0,1,9
11,14,0,0.052500000000000005,0,1,10
12,15,0,0.052500000000000005,0,1,10
13,17,0,0.052500000000000005,0,2,10
14,17,0,0.058750000000000004,0,2,11
15,17,0,0.060000000000000005,0,3,12
16,18,0,0.06125,0,4,13
17,18,0,0.06375,0,4,15
18,20,0,0.065,0,4,16
19,19,0,0.065,0,5,16
20,18,0,0.09,0,7,20
21,18,0,0.0975,0,8,22
22,18,0,0.11125,0,8,25
23,14,0,0.1175,0,12,26
24,15,0,0.125,0,12,28
25,14,0,0.125,0,13,28
26,13,0,0.12625,0,17,29
27,12,0,0.12625,0,18,29
28,14,0,0.1325,0,19,30
29,16,0,0.1325,0,20,30
30,16,0,0.13375,0,20,31
31,14,0,0.14,0,22,32
32,17,0,0.14625000000000002,0,22,33
33,17,0,0.1525,0,22,34
34,19,0,0.15375,0,23,35
35,22,0,0.15375,0,24,35
36,26,0,0.16,0,24,36
37,27,0,0.16625,0,24,37
38,29,0,0.185,0,24,40
39,26,0,0.185,0,27,40
40,26,0,0.1925,0,27,42
41,27,0,0.19875,0,28,43
42,28,0,0.15125,0,28,46
43,30,0,0.15125,0,28,46
44,29,0,0.15875,0,29,48
45,28,0,0.165,0,30,49
46,29,0,0.1725,0,31,51
47,30,0,0.17875,0,31,52
48,32,0,0.19375,0,32,56
49,34,0,0.2,0,32,57
50,36,0,0.20625,0,34,58
51,37,0,0.2075,0,34,59
52,39,0,0.2075,0,35,59
53,38,0,0.2075,0,36,59
54,41,0,0.2075,9,37,59
55,39,0,0.22,9,40,61
56,41,0,0.22,9,40,61
57,40,0,0.22625,9,43,62
58,45,0,0.22625,9,43,62
59,46,0,0.22625,9,45,62
60,48,0,0.2325,9,45,63
61,48,0,0.24,9,45,65
62,47,0,0.24,9,47,65
63,51,0,0.24,9,47,65
64,52,0,0.24,9,47,65
65,51,0,0.24625,9,49,66
66,54,0,0.24625,9,50,66
67,55,0,0.24625,9,51,66
68,59,0,0.25375000000000003,9,52,68
69,60,0,0.26,9,52,69
70,61,0,0.26,9,52,69
71,61,0,0.26,9,53,69
72,62,0,0.21,9,53,69
73,63,0,0.21125,9,54,70
74,65,0,0.23125,9,54,74
75,66,0,0.23750000000000002,9,56,75
76,67,0,0.25,9,56,77
77,69,0,0.25625,9,56,78
78,68,0,0.25625,9,58,78
79,72,0,0.27,9,58,81
80,74,0,0.27625,9,59,82
81,74,1,0.28875,9,61,84
82,76,1,0.28875,9,61,84
83,77,1,0.28875,9,61,84
84,76,1,0.295,9,64,85
85,77,1,0.295,9,65,85
