,GroundWaste,OverflowingBins,AvgBinFill,WasteDisposed,WasteCleaned,WasteIntoBins
0,0,0,0.0,0,0,0
1,2,0,0.0,0,0,0
2,3,0,0.00625,0,0,1
3,5,0,0.01,0,0,4
4,5,0,0.01625,0,0,5
5,6,0,0.01625,0,0,5
6,6,0,0.0175,0,0,6
7,6,0,0.02375,0,0,7
8,7,0,0.02375,0,0,7
9,7,0,0.030000000000000002,0,0,8
10,7,0,0.03125,0,0,9
11,8,0,0.03125,0,0,9
12,9,0,0.03125,0,0,9
13,9,0,0.0375,0,0,10
14,11,0,0.045,0,0,12
15,14,0,0.045,0,1,12
16,16,0,0.045,0,1,12
17,18,0,0.04625,0,1,13
18,20,0,0.04625,0,1,13
19,20,0,0.052500000000000005,0,1,14
20,18,0,0.065,0,3,16
21,18,0,0.0775,0,4,18
22,21,0,0.0775,0,4,18
23,23,0,0.0775,0,4,18
24,24,0,0.0775,0,4,18
25,26,0,0.0775,0,4,18
26,27,0,0.07875,0,5,19
27,29,0,0.07875,0,5,19
28,32,0,0.08625000000000001,0,5,21
29,33,0,0.09875,0,5,23
30,34,0,0.09875,0,5,23
31,39,0,0.09875,0,5,23
32,39,0,0.09875,0,5,23
33,40,0,0.125,0,5,28
34,41,0,0.125,0,5,28
35,45,0,0.125,0,5,28
36,46,0,0.125,0,5,28
37,50,0,0.13125,0,5,29
38,52,0,0.13125,0,5,29
39,54,0,0.1375,0,5,30
40,55,0,0.14375000000000002,0,5,31
41,55,0,0.14375000000000002,0,5,31
42,55,0,0.15125,0,5,33
43,55,0,0.165,0,5,36
44,60,0,0.17125,0,5,37
45,61,0,0.17125,0,5,37
46,62,0,0.17875,0,5,39
47,63,0,0.17875,0,5,39
48,65,0,0.185,0,5,40
49,66,0,0.19125,0,5,41
50,68,0,0.1975,0,5,42
51,71,0,0.19875,0,5,43
52,72,0,0.2,0,5,44
53,74,0,0.20125,0,5,45
54,78,0,0.2025,0,5,46
55,79,0,0.20375000000000001,0,5,47
56,82,0,0.20375000000000001,0,5,47
57,85,0,0.21,0,5,48
58,87,0,0.21625,0,5,49
59,89,0,0.21875,0,5,51
60,90,0,0.22625,0,5,53
61,95,0,0.23875,0,5,55
62,97,0,0.23875,0,5,55
63,98,0,0.23875,0,5,55
64,100,0,0.25125000000000003,0,5,57
65,102,0,0.27,0,5,60
66,103,0,0.27,0,5,60
67,104,0,0.27,0,5,60
68,105,1,0.28250000000000003,0,5,62
69,106,1,0.28625,0,5,65
70,107,1,0.28625,0,5,65
71,111,0,0.23,0,5,66
72,113,0,0.2425,0,5,68
73,114,0,0.24875,0,5,69
74,115,0,0.255,0,5,70
75,115,0,0.26125,0,5,71
76,116,0,0.26125,0,5,71
77,117,0,0.26125,0,5,71
78,120,0,0.26125,0,5,71
79,120,0,0.2625,0,6,72
80,123,0,0.275,0,6,74
81,124,0,0.27625,0,8,75
82,124,0,0.27625,0,8,75
83,126,0,0.28875,0,8,77
84,128,1,0.295,0,8,78
85,129,1,0.30125,0,8,79
86,131,1,0.31375000000000003,0,9,81
87,133,1,0.32625,0,9,83
88,134,1,0.3325,0,9,84
89,136,1,0.3325,0,9,84
90,138,1,0.3325,0,9,84
91,140,1,0.345,0,9,86
92,141,1,0.35125,0,9,87
93,142,1,0.35125,0,9,87
94,144,1,0.35125,0,9,87
95,146,1,0.36375,10,9,89
96,147,1,0.37,10,9,90
97,149,1,0.37,10,9,90
98,150,1,0.37,10,10,90
