,GroundWaste,OverflowingBins,AvgBinFill,WasteDisposed,WasteCleaned,WasteIntoBins
0,0,0,0.0,0,0,0
1,0,0,0.0,0,0,0
2,1,0,0.0125,0,0,2
3,3,0,0.025,0,0,4
4,4,0,0.03125,0,0,5
5,5,0,0.03875,0,0,7
6,5,0,0.04,0,0,8
7,7,0,0.04,0,0,8
8,6,0,0.04625,0,1,9
9,8,0,0.04625,0,1,9
10,11,0,0.04625,0,1,9
11,13,0,0.052500000000000005,0,2,10
12,14,0,0.052500000000000005,0,2,10
13,17,0,0.052500000000000005,0,2,10
14,16,0,0.058750000000000004,0,3,11
15,17,0,0.060000000000000005,0,4,12
16,17,0,0.06625,0,5,13
17,17,0,0.06875,0,6,15
18,17,0,0.06875,0,7,15
19,17,0,0.075,0,7,16
20,20,0,0.075,0,7,16
21,20,0,0.08125,0,8,17
22,20,0,0.08125,0,9,17
23,21,0,0.08125,0,9,17
24,20,0,0.0875,0,10,18
25,21,0,0.0875,0,10,18
26,24,0,0.09375,0,11,19
27,24,0,0.09375,0,13,19
28,24,0,0.09999999999999999,0,14,20
29,25,0,0.1125,0,14,22
30,27,0,0.11875,0,14,23
31,29,0,0.11875,0,14,23
32,31,0,0.125,0,14,24
33,33,0,0.13125,0,14,25
34,35,0,0.1375,0,14,26
35,37,0,0.1375,0,14,26
36,39,0,0.1375,0,14,26
37,40,0,0.145,0,16,28
38,45,0,0.145,0,16,28
39,44,0,0.1575,0,18,30
40,46,0,0.165,0,18,32
41,50,0,0.115,0,18,32
42,50,0,0.115,0,18,32
43,50,0,0.115,0,19,32
44,52,0,0.115,0,19,32
45,55,0,0.115,0,19,32
46,54,0,0.11625,0,21,33
47,55,0,0.1225,0,21,34
48,56,0,0.1225,0,21,34
49,55,0,0.12875,0,24,35
50,56,0,0.12875,0,26,35
51,58,0,0.12875,0,26,35
52,60,0,0.14250000000000002,0,26,38
53,62,0,0.14875,8,26,39
54,65,0,0.15625,8,26,41
55,66,0,0.16375,8,26,43
56,67,0,0.1775,8,26,46
57,68,0,0.1775,8,26,46
58,71,0,0.1775,8,27,46
59,74,0,0.1775,8,27,46
60,73,0,0.1775,8,28,46
61,74,0,0.18375,8,28,47
62,78,0,0.18375,8,28,47
63,74,0,0.19125,8,32,49
64,74,0,0.1975,8,32,50
65,76,0,0.20500000000000002,8,32,52
66,74,0,0.20500000000000002,8,34,52
67,75,0,0.21125,8,34,53
68,73,0,0.2175,8,38,54
69,73,0,0.23125,8,38,57
70,72,0,0.2375,8,42,58
71,73,0,0.24375,8,42,59
72,73,0,0.24375,8,44,59
73,74,0,0.24375,8,44,59
74,74,0,0.245,8,45,60
75,75,0,0.245,8,45,60
76,73,0,0.24625,8,47,61
77,74,0,0.2525,8,47,62
78,72,0,0.2525,8,49,62
79,72,0,0.26625,8,49,65
80,70,0,0.21,8,53,65
81,70,0,0.22875,8,53,68
82,71,0,0.24875,8,53,72
83,71,0,0.255,8,53,73
84,71,0,0.27375,8,55,76
