,GroundWaste,OverflowingBins,AvgBinFill,WasteDisposed,WasteCleaned,WasteIntoBins
0,0,0,0.0,0,0,0
1,0,0,0.0,0,0,0
2,1,0,0.0125,0,0,2
3,3,0,0.025,0,0,4
4,4,0,0.03125,0,0,5
5,5,0,0.03375,0,0,7
6,5,0,0.04625,0,0,9
7,6,0,0.04625,0,0,9
8,8,0,0.04625,0,0,9
9,8,0,0.0475,0,1,10
10,10,0,0.0475,0,1,10
11,12,0,0.04875,0,1,11
12,13,0,0.04875,0,2,11
13,13,0,0.04875,0,2,11
14,14,0,0.05625,0,3,13
15,17,0,0.0575,0,4,14
16,18,0,0.06375,0,4,15
17,19,0,0.065,0,4,16
18,20,0,0.06625,0,5,17
19,20,0,0.0675,0,5,18
20,19,0,0.07375,0,7,19
21,19,0,0.075,0,7,20
22,20,0,0.075,0,7,20
23,21,0,0.075,0,8,20
24,18,0,0.08125,0,11,21
25,19,0,0.0825,0,11,22
26,21,0,0.08875000000000001,0,11,23
27,21,0,0.095,0,13,24
28,21,0,0.10125,0,16,25
29,21,0,0.10125,0,17,25
30,24,0,0.10125,0,18,25
31,24,0,0.1075,0,18,26
32,23,0,0.12000000000000001,0,19,28
33,25,0,0.12000000000000001,0,20,28
34,23,0,0.1275,0,23,30
35,26,0,0.13,0,23,32
36,23,0,0.13625,0,26,33
37,23,0,0.14250000000000002,0,27,34
38,21,0,0.14250000000000002,0,32,34
39,18,0,0.15,0,36,36
40,16,0,0.15,0,40,36
41,16,0,0.15625,0,40,37
42,17,0,0.15625,0,42,37
43,21,0,0.16375,0,42,39
44,19,0,0.17875,0,44,43
45,20,0,0.17875,0,45,43
46,19,0,0.17875,0,48,43
47,21,0,0.18625,0,48,45
48,17,0,0.1875,0,53,46
49,20,0,0.18875,0,53,47
50,19,0,0.195,0,55,48
51,21,0,0.20125,0,56,49
52,23,1,0.2075,0,56,50
53,17,1,0.21375,0,63,51
54,17,1,0.215,0,65,52
55,19,1,0.21625,0,66,53
56,16,1,0.22375,0,70,55
57,16,1,0.2375,0,71,58
58,16,1,0.2375,0,71,58
59,14,1,0.2375,0,73,58
60,16,1,0.25,0,75,60
61,13,1,0.25125,0,78,61
62,13,1,0.25125,0,80,61
63,13,1,0.25125,0,81,61
64,14,1,0.2525,0,82,62
65,13,1,0.25875,0,84,63
66,14,1,0.26,0,85,64
67,14,0,0.2,0,86,66
68,15,0,0.2,0,87,66
69,12,0,0.20625000000000002,0,90,67
70,13,0,0.22,0,92,70
71,13,0,0.23875000000000002,0,93,73
72,12,0,0.2575,0,95,76
73,13,0,0.2725,0,96,80
74,13,0,0.27375,0,98,81
75,15,0,0.28,0,98,82
76,12,0,0.28625,0,102,83
77,12,0,0.29375,0,103,85
78,9,0,0.3,0,107,86
79,8,0,0.3075,0,108,88
80,8,0,0.3075,0,109,88
81,9,0,0.32,0,111,90
82,10,0,0.32,0,112,90
83,10,0,0.32,0,113,90
84,9,0,0.32625,0,115,91
