,GroundWaste,OverflowingBins,AvgBinFill,WasteDisposed,WasteCleaned,WasteIntoBins
0,0,0,0.0,0,0,0
1,0,0,0.0,0,0,0
2,4,0,0.0,0,0,0
3,8,0,0.01375,0,0,3
4,10,0,0.01375,0,0,3
5,12,0,0.0275,0,0,6
6,14,0,0.03375,0,0,7
7,14,0,0.03375,0,0,7
8,14,0,0.04,0,0,8
9,16,0,0.04,0,0,8
10,16,0,0.04,0,0,8
11,18,0,0.0475,0,0,10
12,19,0,0.0475,0,0,10
13,21,0,0.0475,0,0,10
14,22,0,0.060000000000000005,0,0,12
15,23,0,0.06625,0,0,13
16,27,0,0.07250000000000001,0,0,14
17,28,0,0.075,0,0,16
18,28,0,0.0825,0,0,18
19,30,0,0.095,0,0,20
20,30,0,0.095,0,0,20
21,33,0,0.095,0,0,20
22,33,0,0.095,0,0,20
23,34,0,0.095,0,0,20
24,35,0,0.10125,0,0,21
25,38,0,0.11375,0,0,23
26,39,0,0.11375,0,0,23
27,42,0,0.12625,0,0,25
28,44,0,0.12625,0,0,25
29,48,0,0.1325,0,0,26
30,49,0,0.13875,0,0,27
31,51,0,0.15125,0,0,29
32,51,0,0.1575,0,0,30
33,53,0,0.16375,0,0,31
34,55,0,0.17625,0,0,33
35,55,0,0.18875,0,0,35
36,57,0,0.18875,0,0,35
37,58,0,0.195,0,0,36
38,59,0,0.195,0,0,36
39,62,0,0.195,0,0,36
40,63,0,0.19625,0,0,37
41,64,0,0.19625,0,0,37
42,66,0,0.19625,0,0,37
43,68,0,0.19625,0,0,37
44,69,0,0.19625,0,0,37
45,69,0,0.1975,0,0,38
46,71,0,0.21000000000000002,0,0,40
47,71,0,0.21000000000000002,0,1,40
48,73,0,0.22375,0,1,43
49,74,0,0.22375,0,1,43
50,75,0,0.22375,0,1,43
51,77,0,0.23625,0,1,45
52,79,0,0.1875,0,1,47
53,84,0,0.19375,0,1,48
54,86,0,0.19375,0,1,48
55,88,0,0.19375,0,1,48
56,89,0,0.19375,0,1,48
57,90,0,0.19375,0,1,48
58,94,0,0.19375,0,1,48
59,92,0,0.20124999999999998,0,4,50
60,95,0,0.20875,0,4,52
61,91,0,0.215,0,9,53
62,92,0,0.21625,0,9,54
63,95,0,0.22875,0,9,56
64,95,0,0.235,0,10,57
65,97,0,0.24125,0,10,58
66,97,0,0.2425,0,10,59
67,89,0,0.2425,0,22,59
68,89,0,0.255,0,22,61
69,75,0,0.2675,0,39,63
70,77,0,0.27375,9,40,64
71,79,0,0.275,9,40,65
72,80,0,0.28875,9,40,68
73,80,0,0.30125,9,40,70
74,82,0,0.31375000000000003,9,40,72
75,81,0,0.32,9,42,73
76,82,0,0.32625,9,42,74
77,84,0,0.3325,9,43,75
78,84,0,0.3325,9,43,75
79,68,0,0.33875,9,61,76
80,70,0,0.33875,9,62,76
81,72,0,0.35125,9,62,78
82,56,0,0.36375,9,80,80
83,58,0,0.36375,9,80,80
84,58,0,0.37625,9,82,82
