,GroundWaste,OverflowingBins,AvgBinFill,WasteDisposed,WasteCleaned,WasteIntoBins
0,0,0,0.0,0,0,0
1,4,0,0.00625,0,0,1
2,6,0,0.01375,0,0,3
3,8,0,0.02,0,0,4
4,13,0,0.02625,0,0,5
5,15,0,0.02625,0,1,5
6,20,0,0.0325,0,1,6
7,23,0,0.045,0,1,8
8,26,0,0.051250000000000004,0,1,9
9,28,0,0.05375,0,3,11
10,32,0,0.05375,0,4,11
11,36,0,0.05375,0,4,11
12,37,0,0.055,0,5,12
13,40,0,0.06125,0,6,13
14,43,0,0.06125,0,11,13
15,51,0,0.06125,0,11,13
16,53,0,0.07375,0,14,15
17,58,0,0.08125,0,14,17
18,63,0,0.08750000000000001,0,15,18
19,67,0,0.08750000000000001,0,15,18
20,69,0,0.09000000000000001,0,17,20
21,70,0,0.09000000000000001,0,20,20
22,71,0,0.10875,0,21,23
23,77,0,0.115,0,22,24
24,80,0,0.115,0,24,24
25,83,0,0.1275,0,24,26
26,84,0,0.14,0,27,28
27,86,0,0.14625,0,27,29
28,84,0,0.14625,0,37,29
29,88,0,0.1525,0,41,30
30,93,0,0.165,0,42,32
31,94,0,0.17125,0,46,33
32,93,0,0.17750000000000002,0,52,34
33,92,0,0.17750000000000002,0,57,34
34,88,0,0.18375,0,63,35
35,94,0,0.18375,0,64,35
36,97,0,0.19,0,66,36
37,97,0,0.19,0,69,36
38,102,0,0.20500000000000002,0,70,40
39,106,0,0.20500000000000002,0,72,40
40,103,0,0.20500000000000002,0,79,40
41,86,0,0.20500000000000002,0,99,40
42,86,0,0.20625000000000002,0,104,41
43,89,0,0.20625000000000002,0,104,41
44,80,0,0.20625000000000002,0,117,41
45,82,0,0.20750000000000002,0,117,42
46,83,0,0.21375,0,119,43
47,87,0,0.21375,0,121,43
48,86,0,0.21625,0,127,45
49,89,0,0.22375,0,129,47
50,93,0,0.22375,0,133,47
51,94,0,0.245,0,138,52
52,90,0,0.2575,0,147,54
53,94,0,0.2575,0,150,54
54,97,0,0.26375,0,151,55
55,93,0,0.27,0,157,56
56,95,0,0.28250000000000003,0,162,58
57,95,0,0.29000000000000004,0,164,60
58,94,0,0.29625,0,169,61
59,95,0,0.2975,0,169,62
60,98,0,0.2975,0,173,62
61,97,0,0.30375,0,177,63
62,104,0,0.31625000000000003,0,178,65
63,100,0,0.32375,0,185,67
64,100,0,0.33125,0,187,69
65,105,0,0.33125,0,188,69
66,94,0,0.35,0,203,72
67,99,2,0.375,0,204,76
68,101,2,0.375,0,209,76
69,105,2,0.38125,0,210,77
70,108,2,0.38875,0,213,79
71,107,2,0.395,0,217,80
72,109,2,0.395,0,218,80
73,110,2,0.395,0,220,80
74,103,3,0.4075,0,230,82
75,111,3,0.4075,0,230,82
76,99,2,0.345,0,246,82
77,103,2,0.35125,0,246,83
78,98,2,0.35125,0,252,83
79,101,2,0.35125,0,252,83
80,102,3,0.3575,0,257,84
81,106,3,0.3575,0,257,84
82,103,3,0.3575,0,265,84
83,107,3,0.36375,0,269,85
84,111,3,0.37,0,271,86
85,112,3,0.3825,0,275,88
86,117,3,0.3825,0,275,88
87,119,3,0.40125,0,280,91
88,126,3,0.40125,0,281,91
89,128,3,0.41375,0,283,93
90,132,3,0.42625,0,288,95
91,131,3,0.43375,0,292,97
92,133,3,0.43375,0,293,97
93,140,3,0.44,0,294,98
94,142,3,0.44,0,295,98
95,135,3,0.44125,0,306,99
96,136,3,0.44125,0,311,99
97,114,3,0.4475,0,336,100
98,115,3,0.45375,0,339,101
99,121,3,0.45375,0,339,101
100,120,3,0.46,10,347,102
101,124,3,0.46,10,348,102
102,119,3,0.46625,10,359,103
103,122,3,0.47375,10,362,105
104,129,3,0.475,10,363,106
105,128,3,0.4775,10,365,108
106,128,3,0.49,10,366,110
107,128,3,0.49625,10,372,111
108,131,3,0.49625,10,372,111
109,125,3,0.4975,10,382,112
110,129,3,0.4975,10,385,112
111,130,3,0.51125,10,387,115
112,135,3,0.46125,10,389,116
113,135,3,0.46125,10,394,116
114,136,3,0.4625,10,394,117
115,131,3,0.4625,10,405,117
116,127,3,0.4625,10,409,117
117,131,3,0.4625,10,413,117
118,132,3,0.4625,10,417,117
119,136,3,0.46875,10,419,118
120,136,3,0.46875,10,423,118
121,139,3,0.46875,10,425,118
122,142,3,0.46875,10,426,118
123,146,3,0.47000000000000003,10,427,119
124,148,3,0.47000000000000003,19,427,119
125,149,3,0.4825,19,430,121
126,147,3,0.4825,19,440,121
127,147,3,0.48375,19,447,122
128,148,3,0.48375,19,451,122
129,150,3,0.49,19,454,123
130,151,3,0.49,19,456,123
131,147,4,0.5025000000000001,19,461,125
132,142,4,0.5025000000000001,19,469,125
133,145,4,0.5025000000000001,19,472,125
134,146,4,0.5025000000000001,19,475,125
135,138,4,0.50375,19,486,126
136,142,3,0.44875,19,488,128
137,139,3,0.44875,19,493,128
138,140,3,0.45625,19,494,130
139,140,3,0.45625,19,497,130
140,141,3,0.4625,19,498,131
141,146,4,0.47000000000000003,19,500,133
142,150,4,0.47000000000000003,19,501,133
143,147,4,0.47625,19,509,134
144,149,4,0.47625,19,513,134
145,148,5,0.4825,19,521,135
146,149,5,0.4825,19,523,135
147,144,5,0.48375,19,533,136
148,144,5,0.485,29,539,137
149,143,5,0.49125,29,542,138
150,126,5,0.49125,29,562,138
151,127,5,0.4925,29,565,139
152,129,5,0.4925,29,569,139
153,129,5,0.4925,29,574,139
154,129,5,0.495,29,576,141
155,126,5,0.495,29,582,141
156,130,5,0.495,29,583,141
157,133,5,0.495,29,585,141
158,133,5,0.495,29,589,141
159,138,5,0.495,29,589,141
160,141,5,0.49625,29,593,142
161,141,5,0.5025,29,596,143
162,147,5,0.5025,29,596,143
163,140,5,0.50375,29,611,144
164,146,5,0.51625,29,616,146
165,152,5,0.5225,29,621,147
166,146,4,0.47250000000000003,29,635,149
167,147,4,0.47250000000000003,29,640,149
168,156,4,0.47250000000000003,29,642,149
169,153,4,0.47250000000000003,29,651,149
170,158,4,0.47250000000000003,29,652,149
171,155,4,0.47250000000000003,29,663,149
172,162,4,0.47250000000000003,29,664,149
173,150,4,0.47250000000000003,29,677,149
174,155,4,0.47250000000000003,29,677,149
175,156,4,0.47250000000000003,29,680,149
176,157,4,0.47250000000000003,29,685,149
177,162,4,0.47250000000000003,29,688,149
178,160,4,0.47375,29,694,150
179,154,4,0.475,29,706,151
180,157,4,0.475,29,708,151
181,152,4,0.475,29,718,151
182,156,4,0.48125,29,720,152
