,GroundWaste,OverflowingBins,AvgBinFill,WasteDisposed,WasteCleaned,WasteIntoBins
0,0,0,0.0,0,0,0
1,0,0,0.0,0,0,0
2,0,0,0.007500000000000001,0,0,2
3,0,0,0.01375,0,0,3
4,0,0,0.01375,0,0,3
5,0,0,0.026250000000000002,0,0,5
6,0,0,0.026250000000000002,0,0,5
7,1,0,0.04,0,0,8
8,1,0,0.04625,0,0,9
9,0,0,0.04625,0,1,9
10,0,0,0.053750000000000006,0,1,11
11,0,0,0.053750000000000006,0,1,11
12,0,0,0.060000000000000005,0,1,12
13,0,0,0.061250000000000006,0,1,13
14,0,0,0.061250000000000006,0,1,13
15,1,0,0.061250000000000006,0,1,13
16,1,0,0.0675,0,1,14
17,1,0,0.0675,0,1,14
18,0,0,0.0675,0,2,14
19,0,0,0.0675,0,2,14
20,1,0,0.08,0,2,16
21,1,0,0.08625000000000001,0,2,17
22,2,0,0.08625000000000001,0,2,17
23,2,0,0.09875,0,2,19
24,2,0,0.11125,0,2,21
25,2,0,0.11750000000000001,0,2,22
26,4,0,0.11750000000000001,0,2,22
27,5,0,0.11750000000000001,0,2,22
28,4,0,0.13,0,3,24
29,4,0,0.13625,0,4,25
30,4,0,0.14375000000000002,0,4,27
31,3,0,0.15625,0,5,29
32,3,0,0.16875,0,5,31
33,3,0,0.16875,0,6,31
34,3,0,0.16875,0,7,31
35,3,0,0.16875,0,7,31
36,3,0,0.16875,0,8,31
37,2,0,0.18125,0,9,33
38,2,0,0.1825,0,9,34
39,1,0,0.18375,0,10,35
40,1,0,0.19,0,10,36
41,0,0,0.19,0,11,36
42,1,0,0.19125,0,11,37
43,2,0,0.14125000000000001,0,11,37
44,2,0,0.1475,0,11,38
45,2,0,0.1475,0,11,38
46,2,0,0.1475,0,11,38
47,2,0,0.14875,0,11,39
48,3,0,0.14875,0,11,39
49,3,0,0.16125,0,12,41
50,3,0,0.1675,0,12,42
51,4,0,0.16875,0,13,43
52,5,0,0.16875,0,13,43
53,5,0,0.18125,0,13,45
54,5,0,0.18125,0,13,45
55,6,0,0.18875,8,13,47
56,7,0,0.18875,8,13,47
57,6,0,0.19625,8,14,49
58,5,0,0.19625,8,15,49
59,6,0,0.19625,8,15,49
60,5,0,0.20375,8,16,51
61,4,0,0.21,8,17,52
62,5,0,0.21625,8,17,53
63,5,0,0.22875,8,17,55
64,5,0,0.23500000000000001,8,17,56
65,5,0,0.24125000000000002,8,17,57
66,5,0,0.24125000000000002,8,17,57
67,5,0,0.24375000000000002,8,17,59
68,6,0,0.24375000000000002,8,17,59
69,6,0,0.2625,8,18,62
70,8,0,0.2625,8,18,62
71,8,0,0.26875,8,18,63
72,9,0,0.26875,8,18,63
73,9,0,0.26875,8,18,63
74,8,0,0.26875,8,19,63
75,9,0,0.27625,8,19,65
76,9,0,0.27625,8,19,65
77,10,0,0.27625,8,19,65
78,10,0,0.29,8,19,68
79,11,0,0.29125,8,19,69
80,10,0,0.29875,8,20,71
